key	en	es
home	Home	Inicio
portfolio	Portfolio	Portfolio
resume	Resume	Resumen
about_tag	About	Sobre Mi
contact	Contact	Contacto
hello_heading	Hello, I am	Hola, yo soy
welcome_message	Welcome to my personal portfolio	Te doy la bienvenida a mi portfolio personal
section_portfolio_heading	Portfolio	Portafolio
filter_all	All Projects	Todos los proyectos
filter_haptic	Haptics	Hápticos
filter_iot	IoT	IoT
filter_videogame	Videogames and VR	Videojuegos y RV
filter_simulation	Simulation	Simulación
portfolio_project1_name	Part-Time Hero	Part-Time Hero
portfolio_project1_category	Videogames and VR	Videojuegos y RV
portfolio_project2_name	Smart Train Composition Coupling	Acoplamiento Inteligente de Composición de Trenes
portfolio_project2_category	IoT	IoT
portfolio_project3_name	Obstetric Simulator	Simulador Obstétrico
portfolio_project3_category	Simulation and Haptics	Simulación y Hápticos
portfolio_project4_name	Wireless Train Integrity	Wireless Train Integrity
portfolio_project4_category	IoT	IoT
portfolio_project5_name	Escape Game	Escape Game
portfolio_project5_category	Videogames and VR	Videojuegos y RV
portfolio_project6_name	Haptic Render	Háptico Render
portfolio_project6_category	Haptics	Hápticos
portfolio_project7_name	Advanced Mesh Deformation Simulations	Simulaciones Avanzadas en Mallas
portfolio_project7_category	Simulation	Simulación
portfolio_project8_name	More Projects	Más Proyectos
portfolio_project8_category	Various	Varios
portfolio_project9_name	Boat VR Minigame	Boat VR Minijuego
portfolio_project9_category	Videogames and VR / Simulation	Videojuegos y RV / Simulación
portfolio_project10_name	Rigging and Animation of Models	Rigging y Animación de Modelos
portfolio_project10_category	Videogames and RV	Videojuegos y RV
portfolio_project11_name	Github	Github
portfolio_project11_category	https://github.com/Ecenys	https://github.com/Ecenys
portfolio_project12_name	Stereoscopic Marker Tracking	Seguimiento Estereoscópico de Marcadores
portfolio_project12_category	Videogames and VR	Videojuegos y RV
my_resume	My Resume	Mi Resumen
laboral_experience	Laboral Experience	Experiencia laboral
resume_item_5	November 2021 - Present	Noviembre 2021 - Actualidad
resume_title_5	R&D Engineer in Railway Systems	Ingeniero de I+D en sistemas ferroviarios
resume_description_5_1	"Railway Systems Engineer in the European program ""Europe’s Rail Joint Undertaking"". Research and development of new systems for ETCS 3."	"Ingeniero de Sistemas Ferroviarios en el programa Europeo ""Europe’s Rail Joint Undertaking"". Investigación y desarrollo de nuevos sistemas para ETCS 3."
resume_description_5_2	Wireless Train Integiry, Virtual Coupling and Train Warning System	 Virtual Coupling, Wireless Train Integrity y Train Warning System
resume_description_5_3	C/C++, MQTT and CBOR for main systems and communications. Python and QT5 for simulator development and support tools	C/C++, MQTT y CBOR para sistemas principales y comunicaciones. Python y QT5 para desarrollo de simuladores y herramientas de soporte
resume_company_5	Indra Sistemas	Indra Sistemas
resume_item_4	January 2021 - September 2021	Enero 2021 - Septiembre 2021
resume_title_4	Researcher	Investigador
resume_description_4_1	"Researcher in the ""TouchDesing"" research group. Research on new subactuated haptic rendering algorithms"	"Investigador en el grupo de investigación ""TouchDesing"". Investigación de nuevos algoritmos de renderizado háptico subactuado"
resume_description_4_2	C/C++, C#, and Unity. Programming drivers for the SenseGlove DK1 haptic device	C/C++, C# y Unity. Programación de drivers para dispositivo háptico SenseGlove DK1
resume_company_4	 Rey Juan Carlos I University	Universidad Rey Juan Carlos I
resume_item_3	January 2020 - December 2020	Enero 2020 - Diciembre 2020
resume_company_3	Vector ITC Group	Vector ITC Group
resume_title_3	Developer	Programador
